folder,num_geo_files,num_pdf_files,num_excel_files,list_geo_files,all_excel_files,all_pdf_files
MPN 0060,1,1,2,attachment c - geocode.xlsx,attachment b - providers + zipcodes with 20230131 replacement.xlsx;attachment c - geocode.xlsx,state cola mpn re-approval application 2022-23.pdf
MPN 0079,1,1,2,compwest select mpn 0079 geocoding exhibit.xlsx,compwest select mpn 0079 geocoding exhibit.xlsx;compwest select mpn 0079 provider listing with 20240812 replacement.xlsx,compwest select mpn 0079 reapproval application with 20240808 replacement.pdf
MPN 0107,1,1,2,compwest select mpn 0107_geocoding_exhibit.xlsx,compwest select mpn 0107_geocoding_exhibit.xlsx;compwest select mpn 0107_provider listing (with 20250506 replacement).xlsx,compwest select mpn 0107 reapproval application (with 20250505 replacement).pdf
MPN 0145,1,1,3,cypress attachment c - geocode with 20241010 replacement.xlsx,cypress attachment b - provider+zipcodes - ancillary with 20241115 replacement.xlsx;cypress attachment b - provider+zipcodes with 20241115 replacement.xlsx;cypress attachment c - geocode with 20241010 replacement.xlsx,full application with 20241010 replacement.pdf
MPN 0208,0,1,3,,attachment b - ancillary(with 20231107 replacement).xlsx;attachment b - provider(with 20231107 replacement).xlsx;attachment c - access.xlsx,zaic 0208 mpn application renewal document (with 20131107 replacement).pdf
MPN 0209,0,1,3,,attachment b - ancillary.xlsx;attachment b - provider.xlsx;attachment c - access.xlsx,zaic of il 0209 mpn application renewal document.pdf
MPN 0210,0,1,3,,attachment b - ancillary.xlsx;attachment b - provider.xlsx;attachment c - access.xlsx,ag&l 0210 mpn application renewal document.pdf
MPN 0211,0,1,3,,attachment b - ancillary.xlsx;attachment b - provider.xlsx;attachment c - access.xlsx,azic 0211 mpn application renewal final.pdf
MPN 0339,1,1,2,pacific gas and electric company mpn 0339_geocoding_exhibit.xlsx,pacific gas and electric company mpn 0339 provider listing(with20230328 rep).xlsx;pacific gas and electric company mpn 0339_geocoding_exhibit.xlsx,pacific gas and electric company mpn 0339 reapproval app (with20230328 rep).pdf
MPN 0352,0,1,4,,access.xlsx;ancillary.xlsx;provider.xlsx;telehealth.xlsx,mpn 0352 goodrich.chartis medical provider network 2025.pdf
MPN 0392,0,1,1,,thd mpn attachment 2(with 20231009 replacement).xlsx,thd mpn application with attachments.pdf
MPN 0409,1,1,2,attachment c - geocode bbsi.xlsx,attachment b - providers + zipcodes(with 20240408 replacement).xlsx;attachment c - geocode bbsi.xlsx,custom with kaiser mpn application bbsi(with 20240408 replacement).pdf
MPN 0439,0,13,3,,20 attachment k with 20220715 replacement.xlsx;7 attachment b with 20220715 replacement.xlsx;8 attachment c.xlsx,10 attachment e.pdf;11 attachment f  employee notification spanish (updated concentra).pdf;12 attachment f  employee notification english (updated concentra).pdf;13 attachment g continuity of care_ sb 542 english.pdf;14 attachment g continuity of care_ sb 542 spanish.pdf;15 attachment h english.pdf;16 attachment h spanish.pdf;17 attachment i.pdf;18 attachment j.pdf;3 - application for reapproval of city of san diego mpn 2022 with 20220715 replacement.pdf;4 attachment a sir part 1 of 3.pdf;6 attachment a part 3 of 3.pdf;9 attachment d.pdf
MPN 0481,1,12,2,attachment c geo code update as of 2024(with 20240725 replacement).xlsx,attachment b update as of 07-23-24(with 20240725 replacement).xlsx;attachment c geo code update as of 2024(with 20240725 replacement).xlsx,1.city of riverside - network -7-25-24 pdf final ji(with 20240725 replacement).pdf;attachment d- second and third opinion process - english.pdf;attachment d- second and third opinion process - spanish.pdf;attachment e- access standards.pdf;attachment f -complete written mpn employee notification - 07-23-24english pdf(with 20240725 replacement).pdf;attachment f -complete written mpn employee notification - 7-23-24 spanish pdf(with 20240725 replacement).pdf;attachment g- continuity of care policy 7-23-24 spanish pdfwith 20240725 replacement).pdf;attachment g-continuity of care policy 07-23-24 english pdf(with 20240725 replacement) (1).pdf;attachment h - transfer of ongoing care policy - spanish.pdf;attachment h- transfer of ongoing care policy - english.pdf;attachment i- economic profiling.pdf;attachment j - quality of care and performance.pdf
MPN 0560,0,2,3,,ancillary with 20220913 replacement.xlsx;cvty access.xlsx;provider with 20220913 replacement.xlsx,cna 0560 mpn application (003).pdf;cna 0560 section l with 20220913 replacement.pdf
MPN 0584,0,14,3,,attachment b - ancillary.xlsx;attachment b - provider.xlsx;attachment c - dwc access.xlsx,attachment a - proof of eligibility for mpn applicant.pdf;attachment d - second and third opinion process .pdf;attachment e - access standards.pdf;attachment f - complete written mpn employee notification-sentry.pdf;attachment g - continuity of care policy.pdf;attachment h - transfer of ongoing care policy.pdf;section a. - eligibility of the mpn applicant.pdf;section c. - mpn's ability to provide medical care.pdf;section e. - medical access assistant.pdf;section h. - physician acknowledgment.pdf;section j. - ancillary services lnformation.pdf;section l. - ancillary services.pdf;section t. - medical evaluation of clinical issues.pdf;sentry mpn plan for reapproval - 04 01 2022.pdf
